ファイルID,ファイル名/タイトル,URL,カテゴリ名,所属親フォルダID,所属親フォルダ名,フォルダパス
item_015,朝鮮半島の分断と占領統治,https://example.com/history/%E6%9C%9D%E9%AE%AE%E5%8D%8A%E5%B3%B6%E3%81%AE%E5%88%86%E6%96%AD%E3%81%A8%E5%8D%A0%E9%A0%98,詳細（授業）,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_016,20-1 台湾の接収と２・２８事件,https://example.com/history/20-1%20%E5%8F%B0%E6%B9%BE%E3%81%AE%E6%8E%A5%E5%8F%8E,詳細（授業）,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_017,ソ連の満州接収と国共内戦,https://example.com/history/%E3%82%BD%E9%80%A3%E3%81%AE%E6%BA%80%E5%B7%9E%E6%8E%A5%E5%8F%8E%E3%81%A8%E5%9B%BD%E5%85%B1,補足教科書,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_018,「国民党ｖｓ共産党」,https://example.com/history/%E3%80%8C%E5%9B%BD%E6%B0%91%E5%85%9A%EF%BD%96%EF%BD%93%E5%85%B1%E7%94%A3%E5%85%9A%E3%80%8D,補足教科書,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_019,中華人民共和国の成立,https://example.com/history/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E3%81%AE%E6%88%90%E7%AB%8B,補足教科書,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_020,「２つの中国」,https://example.com/history/%E3%80%8C%EF%BC%92%E3%81%A4%E3%81%AE%E4%B8%AD%E5%9B%BD%E3%80%8D,本情報,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_021,揺れ動く中東,https://example.com/history/%E6%8F%BA%E3%82%8C%E5%8B%95%E3%81%8F%E4%B8%AD%E6%9D%B1,本情報,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_022,20-2 「西アジア諸地域の動き」,https://example.com/history/20-2%20%E3%80%8C%E8%A5%BF%E3%82%A2%E3%82%B8%E3%82%A2,本情報,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_023,南アジア諸国の独立,https://example.com/history/%E5%8D%97%E3%82%A2%E3%82%B8%E3%82%A2%E8%AB%B8%E5%9B%BD%E3%81%AE%E7%8B%AC%E7%AB%8B,主要内容,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_024,「インドの独立達成！」,https://example.com/history/%E3%80%8C%E3%82%A4%E3%83%B3%E3%83%89%E3%81%AE%E7%8B%AC%E7%AB%8B%E9%81%94%E6%88%90%EF%BC%81,主要内容,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_025,東南アジア諸国の独立,https://example.com/history/%E6%9D%B1%E5%8D%97%E3%82%A2%E3%82%B8%E3%82%A2%E8%AB%B8%E5%9B%BD%E3%81%AE%E7%8B%AC%E7%AB%8B,詳細（授業）,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_026,「ベトナムの独立を認めないフランス！」,https://example.com/history/%E3%80%8C%E3%83%99%E3%83%88%E3%83%8A%E3%83%A0%E3%81%AE%E7%8B%AC%E7%AB%8B%E3%82%92%E8%AA%8D,詳細（授業）,folder_006,植民地統治の再開と独立の困難,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 1 アジア・太平洋戦争と日本の敗戦 ＞ 植民地統治の再開と独立の困難
item_027,20-2 「米ソの代理戦争！朝鮮戦争の勃発！！」,https://example.com/history/20-2%20%E3%80%8C%E7%B1%B3%E3%82%BD%E3%81%AE%E4%BB%A3,詳細（授業）,folder_008,朝鮮戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 3 アジア諸国の独立と脱植民地化 ＞ 朝鮮戦争
item_028,20-3 「核を保有すると、発言力が強くなる！？」,https://example.com/history/20-3%20%E3%80%8C%E6%A0%B8%E3%82%92%E4%BF%9D%E6%9C%89,補足教科書,folder_009,サンフランシスコ講和会議,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 3 アジア諸国の独立と脱植民地化 ＞ サンフランシスコ講和会議
item_029,東アジアの安全保障条約,https://example.com/history/%E6%9D%B1%E3%82%A2%E3%82%B8%E3%82%A2%E3%81%AE%E5%AE%89%E5%85%A8%E4%BF%9D%E9%9A%9C%E6%9D%A1,補足教科書,folder_009,サンフランシスコ講和会議,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 3 アジア諸国の独立と脱植民地化 ＞ サンフランシスコ講和会議
item_030,「ソ連がアメリカに歩み寄る！？」,https://example.com/history/%E3%80%8C%E3%82%BD%E9%80%A3%E3%81%8C%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%81%AB%E6%AD%A9,補足教科書,folder_009,サンフランシスコ講和会議,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 3 アジア諸国の独立と脱植民地化 ＞ サンフランシスコ講和会議
item_031,「毛沢東の暴走！」社会主義中国の国家建設,https://example.com/history/%E3%80%8C%E6%AF%9B%E6%B2%A2%E6%9D%B1%E3%81%AE%E6%9A%B4%E8%B5%B0%EF%BC%81%E3%80%8D%E7%A4%BE,本情報,folder_010,冷戦と国内政治,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 3 アジア諸国の独立と脱植民地化 ＞ 冷戦と国内政治
